Título,Autor
A arte de escrever,Arthur Schopenhauer
Carta sobre a Felicidade,Epicuro
Ética a Nicômaco,Aristóteles
O Banquete,Platão
Aprendendo a viver,Sêneca
A República,Platão
A Metamorfose,Kafka
O Discurso do Método,Descartes
Crítica da Razão Pura,Kant
O Principe,Maquiavel
Fenomenologia do Espírito,Hegel
O existencialismo é um humanismo,Sartre
O Capital,Marx
O Mito de Sísifo,Albert Camus
Fedro,Platão
Os Sofrimentos do Jovem Werther,Goethe
Ética,Espinoza
Anna Kariênina,Tolstói
Utopia,Thomas Moore
A Magia da Realidade,Dawkins
Sapiens: Uma breve história da Humanidade,Harari
O Mundo Assombrado pelos Demônios,Sagan
Os pantanais da Alma,Hollis
O Homem e seus Símbolos,C. G. Jung
Subjetividade e verdade,Foucalt
As dores do Mundo,Arthur Schopenhauer
Uma Confissão,Tolstói
Tratado sobre a Tolerância,Voltaire
Felicidade Conjugal,Tolstói
Ecce Homo,Nietzche
Sobre a Vontade da Natureza,Arthur Schopenhauer
De Quanta Terra Precisa um Homem,Tolstói
Além do Bem e do Mal,Nietzche
Os Quatro Amores,C. S. Lewis
Crime e Castigo,Dostoievsky
Amor Líquido,Bauman
A Desobediência Civil,Thoreau
1984,George Orwell
Deus e o Estado,Bakunin
A Importância de ser Prudente,Oscar Wilde
Ensaio sobre a Cequeira,Saramago
A Conquista da Felicidade,Betrand Russell
Waldern,Thoreau
Aforismos para Sabedoria de Vida,Arthur Schopenhauer
O que é Zen,Alan Watts
O que é o Tao?,Alan Watts
A Arte da Guerra,Sun Tzu
Dao de Ching,Laozi
The Wisdom of Insecurity,Alan Watts
Vazio Perfeito,Liezi
The Book,Alan Watts